incident_type,thread_id,title,series,ruling,reason,fault_a
Unsafe rejoin,u9rwqa,Unsafe re-entry ruins someone's race :(,,Rejoin Fault,Drivers on the racing surface have the right-of-way. You must wait for a clear gap before re-entering.,100
Unsafe rejoin,18vneqo,Is this unsafe rejoin reportable?,,Rejoin Fault,Hold your brakes and join safely when traffic has passed. Don't try to jump back into the race immediately,100
Divebomb / Late lunge,1ix851f,It was definitely a lunge but I’m unsure if it was illegal or not,,Overtaker Fault,"The car ahead was already turning in, and you had no significant overlap. At that point they have no obligation to leave you space.",90
Punt / Rear-end under braking,1hr86v2,I Am The White Acura That Get's Punted,,Overtaker Fault,Failed to brake in time or leave sufficient gap under braking.,90
Crowd-strike / Accordion effect,1pf9k5f,Is anyone to blame for this? was it preventable?,,Following Driver Fault,Did not anticipate braking chain reaction in a pack and rear-ended the car ahead.,95
Brake check / Brake test,1g5unky,2 Incidents on the same race both guys said I brake tested them,,Lead Driver Fault,Abrupt and unnecessary heavy braking with a car close behind to cause contact—classic brake check.,100
Brake check / Brake test,1jn8q28,Who's at fault? Did he brake-check me or was I not paying attention?,,Lead Driver Fault,No reason to brake that hard on a straight; intentional slowdown to punish or cause collision.,100
Brake check / Brake test,1ivciek,Brake check?,,Lead Driver Fault,Full brake application instead of lift—dangerous and avoidable.,95
Blocking / Weaving,1bpxnb0,Where is the line between weaving/ breaking tow and blocking?,,Defender Fault,More than one move per straight constitutes illegal blocking in most rulesets.,85
Blocking / Weaving,1lgzo31,Would this count as blocking even though there is little movement ?,,Defender Fault,Multiple direction changes to prevent overtake—reactionary weaving is blocking.,90
Blocking / Weaving,1nnbpue,Great defending or blocking?,,Defender Fault,Weaving excessively rather than one clean defensive move.,80
T1 chaos / Lap 1 pileup,1q1vf8a,Which driver(s) would give penalties to for this T1 chaos?,,Shared Fault / Racing Incident,Typical lap 1 over-optimism with insufficient space—multiple drivers diving without overlap.,50
T1 chaos / Lap 1 pileup,1jtfydg, T1 pile up. Who's at fault?,,Racing Incident,No single driver predominantly at fault; chain reaction from aggressive positioning on lap 1.,0
T1 chaos / Lap 1 pileup,1pvl9gq,Who is at fault? This created a massive pileup,,Primary Overtaker Fault,Optimistic dive into T1 with low overlap triggered the chain—survive lap 1 first.,75
Racing Incident / 50-50,1i3jwnj,Is this a brake check or just a racing incident?,,Racing Incident,Both drivers made reasonable moves that unfortunately collided—no clear predominant fault.,0
Racing Incident / 50-50,1pzutoq,I'm at fault for T1 but was the pit maneuver a racing incident?,,Racing Incident (for secondary contact),Contact resulted from normal wheel-to-wheel racing with shared responsibility.,0
Divebomb / Late lunge,1q5djrx,Stupid Divebomb? Or Racing Incident?,,Overtaker Fault,"Lined up and punted the car ahead with no overlap—classic divebomb/punt, not a racing incident.",95
Unsafe rejoin,1q3vck0,Is this my fault or is this an unsafe rejoin? I would appreciate if u guys could tell,,Rejoin Fault,"Rejoined without waiting for a clear gap, impeding on-track traffic.",100
Unsafe rejoin,1q54da7,Who is at fault??,,Rejoin Fault,Unsafe rejoin directly into the racing line—on-track drivers have priority.,100
Multiclass incident,1q4nnl2,I'm new to Multiclass Racing so i wanna know how is a fault here so I can avoid,,Shared Fault,"Faster class dove late; slower class could have left more room, but primary on diver.",70
Side-by-side contact,1pvg6jj,"Who's at fault, I'm the green/purple car on the outside",,Racing Incident,Typical side-by-side where both could have done more to avoid light contact.,0
